id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_155832,CHEBI_155831,CHEBI_155831_CHEBI_155832,Enantiomers,Enantiomers,100.0
CHEBI_197058,CHEBI_73236,CHEBI_197058_CHEBI_73236,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_17282,CHEBI_24813,CHEBI_17282_CHEBI_24813,Protomers,Protomers,94.0
CHEBI_97846,CHEBI_102205,CHEBI_102205_CHEBI_97846,Diastereomers,Diastereomers,100.0
CHEBI_148124,CHEBI_156939,CHEBI_148124_CHEBI_156939,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_104453,CHEBI_104528,CHEBI_104453_CHEBI_104528,Diastereomers,Diastereomers,100.0
CHEBI_228968,CHEBI_229742,CHEBI_228968_CHEBI_229742,Stereo-resolution pairs,Stereo-resolution pairs,86.0
CHEBI_186871,CHEBI_172127,CHEBI_172127_CHEBI_186871,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_151474,CHEBI_146775,CHEBI_146775_CHEBI_151474,Diastereomers,Diastereomers,100.0
CHEBI_70499,CHEBI_142754,CHEBI_142754_CHEBI_70499,Protomers,Protomers,90.0
CHEBI_58142,CHEBI_57732,CHEBI_57732_CHEBI_58142,Diastereomers,Diastereomers,77.0
CHEBI_142499,CHEBI_171919,CHEBI_142499_CHEBI_171919,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_8499,CHEBI_8736,CHEBI_8499_CHEBI_8736,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_231714,CHEBI_231713,CHEBI_231713_CHEBI_231714,Enantiomers,Enantiomers,100.0
CHEBI_95744,CHEBI_95862,CHEBI_95744_CHEBI_95862,Diastereomers,Diastereomers,100.0
CHEBI_60113,CHEBI_60115,CHEBI_60113_CHEBI_60115,Enantiomers,Enantiomers,100.0
CHEBI_83079,CHEBI_83081,CHEBI_83079_CHEBI_83081,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_37746,CHEBI_40822,CHEBI_37746_CHEBI_40822,Enantiomers,Enantiomers,100.0
CHEBI_57870,CHEBI_16710,CHEBI_16710_CHEBI_57870,Protomers,Protomers,91.0
CHEBI_12266,CHEBI_15830,CHEBI_12266_CHEBI_15830,Protomers,Protomers,92.0
CHEBI_68933,CHEBI_76574,CHEBI_68933_CHEBI_76574,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_63660,CHEBI_63618,CHEBI_63618_CHEBI_63660,Protomers,Protomers,96.0
CHEBI_152811,CHEBI_146570,CHEBI_146570_CHEBI_152811,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_141842,CHEBI_62311,CHEBI_141842_CHEBI_62311,Stereo-resolution pairs,Stereo-resolution pairs,100.0
