id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_57279,CHEBI_1449,CHEBI_1449_CHEBI_57279,protomer,protomer,84.0,1
CHEBI_17282,CHEBI_24813,CHEBI_17282_CHEBI_24813,protomer,protomer,94.0,1
CHEBI_70499,CHEBI_142754,CHEBI_142754_CHEBI_70499,protomer,protomer,90.0,1
CHEBI_57870,CHEBI_16710,CHEBI_16710_CHEBI_57870,protomer,protomer,91.0,1
CHEBI_12266,CHEBI_15830,CHEBI_12266_CHEBI_15830,protomer,protomer,92.0,1
CHEBI_63660,CHEBI_63618,CHEBI_63618_CHEBI_63660,protomer,protomer,96.0,1
CHEBI_28790,CHEBI_350546,CHEBI_28790_CHEBI_350546,protomer,protomer,93.0,1
CHEBI_87105,CHEBI_87104,CHEBI_87104_CHEBI_87105,protomer,protomer,94.0,1
CHEBI_57766,CHEBI_16426,CHEBI_16426_CHEBI_57766,protomer,protomer,94.0,1
CHEBI_133424,CHEBI_28130,CHEBI_133424_CHEBI_28130,protomer,protomer,96.0,1
CHEBI_62576,CHEBI_62574,CHEBI_62574_CHEBI_62576,protomer,protomer,87.0,1
CHEBI_53128,CHEBI_9068,CHEBI_53128_CHEBI_9068,protomer,protomer,91.0,1
CHEBI_16656,CHEBI_57851,CHEBI_16656_CHEBI_57851,protomer,protomer,85.0,1
CHEBI_30609,CHEBI_50365,CHEBI_30609_CHEBI_50365,protomer,protomer,86.0,1
CHEBI_57868,CHEBI_16702,CHEBI_16702_CHEBI_57868,protomer,protomer,93.0,1
CHEBI_82996,CHEBI_83084,CHEBI_82996_CHEBI_83084,protomer,protomer,92.0,1
CHEBI_145989,CHEBI_17052,CHEBI_145989_CHEBI_17052,protomer,protomer,89.0,1
CHEBI_145992,CHEBI_64473,CHEBI_145992_CHEBI_64473,protomer,protomer,96.0,1
CHEBI_229671,CHEBI_229659,CHEBI_229659_CHEBI_229671,protomer,protomer,90.0,1
CHEBI_32443,CHEBI_32442,CHEBI_32442_CHEBI_32443,protomer,protomer,89.0,1
CHEBI_133943,CHEBI_60912,CHEBI_133943_CHEBI_60912,protomer,protomer,96.0,1
CHEBI_16193,CHEBI_30764,CHEBI_16193_CHEBI_30764,protomer,protomer,91.0,1
